Geschlecht;Groesse;Alter;Gewicht;Betaetigung;Einordnung
m;180;61;100;keinSport;Uebergewicht
m;184;46;158;keinSport;Uebergewicht
w;175;48;86;keinSport;Uebergewicht
m;189;36;82;keinSport;Normalgewicht
w;175;19;93;keinSport;Uebergewicht
w;166;19;137;Kraftsport;Uebergewicht
w;161;50;101;keinSport;Uebergewicht
w;172;43;99;keinSport;Uebergewicht
m;167;72;105;Kraftsport;Uebergewicht
m;180;78;109;keinSport;Uebergewicht
m;189;45;132;keinSport;Uebergewicht
w;176;72;125;keinSport;Uebergewicht
m;179;30;107;Ausdauersport;Uebergewicht
m;181;35;78;keinSport;Normalgewicht
m;170;59;95;Kraftsport;Uebergewicht
w;173;59;76;Kraftsport;Normalgewicht
w;172;42;62;keinSport;Normalgewicht
w;162;26;87;Kraftsport;Uebergewicht
w;157;70;86;keinSport;Uebergewicht
w;151;77;64;keinSport;Normalgewicht
m;167;52;60;keinSport;Untergewicht
w;167;51;81;Ausdauersport;Normalgewicht
w;153;57;69;keinSport;Uebergewicht
m;180;25;52;keinSport;Untergewicht
m;186;61;106;Kraftsport;Normalgewicht
w;169;44;108;Ausdauersport;Uebergewicht
w;169;40;78;Kraftsport;Normalgewicht
w;170;64;66;keinSport;Untergewicht
w;170;57;95;keinSport;Uebergewicht
m;172;59;98;keinSport;Uebergewicht
m;166;48;80;Kraftsport;Normalgewicht
w;166;38;146;keinSport;Uebergewicht
m;188;22;63;Kraftsport;Untergewicht
m;168;56;99;Kraftsport;Uebergewicht
m;194;50;122;keinSport;Uebergewicht
w;169;46;60;keinSport;Untergewicht
m;166;41;146;Kraftsport;Uebergewicht
w;156;64;53;Ausdauersport;Normalgewicht
w;180;52;78;keinSport;Normalgewicht
w;152;58;81;keinSport;Uebergewicht
w;156;26;70;Ausdauersport;Uebergewicht
w;175;69;126;keinSport;Uebergewicht
w;169;30;90;Kraftsport;Normalgewicht
m;188;36;119;keinSport;Uebergewicht
m;167;46;58;Ausdauersport;Normalgewicht
m;179;21;100;Kraftsport;Normalgewicht
w;156;43;64;keinSport;Uebergewicht
w;158;51;73;keinSport;Uebergewicht
w;160;29;60;keinSport;Normalgewicht
m;178;51;83;keinSport;Normalgewicht
m;169;51;85;keinSport;Uebergewicht
m;169;55;106;keinSport;Uebergewicht
w;152;23;70;Kraftsport;Normalgewicht
w;171;49;83;keinSport;Uebergewicht
w;169;37;58;keinSport;Untergewicht
w;185;46;128;Kraftsport;Uebergewicht
m;163;19;96;keinSport;Uebergewicht
w;162;31;80;keinSport;Uebergewicht
m;172;51;151;keinSport;Uebergewicht
m;192;63;100;Ausdauersport;Normalgewicht
m;176;53;91;Kraftsport;Normalgewicht
m;181;75;114;Kraftsport;Uebergewicht
m;171;36;67;Kraftsport;Normalgewicht
m;184;53;81;keinSport;Normalgewicht
m;175;45;68;keinSport;Untergewicht
m;174;77;100;Kraftsport;Uebergewicht
w;167;36;47;keinSport;Untergewicht
w;178;52;93;keinSport;Uebergewicht
m;170;76;109;keinSport;Uebergewicht
w;157;67;114;keinSport;Uebergewicht
m;177;46;125;keinSport;Uebergewicht
w;184;42;83;keinSport;Normalgewicht
w;167;28;94;keinSport;Uebergewicht
m;175;21;85;keinSport;Uebergewicht
m;180;35;79;keinSport;Normalgewicht
w;171;46;99;Ausdauersport;Uebergewicht
w;159;77;87;keinSport;Uebergewicht
m;169;78;78;Ausdauersport;Normalgewicht
m;180;54;140;keinSport;Uebergewicht
w;172;59;104;keinSport;Uebergewicht
w;169;71;102;Kraftsport;Uebergewicht
m;179;41;68;Ausdauersport;Normalgewicht
m;179;31;79;Ausdauersport;Normalgewicht
w;168;31;62;Ausdauersport;Normalgewicht
w;167;57;112;keinSport;Uebergewicht
w;166;52;100;keinSport;Uebergewicht
w;164;45;69;Kraftsport;Normalgewicht
w;170;41;112;keinSport;Uebergewicht
m;163;42;151;keinSport;Uebergewicht
w;160;46;94;Kraftsport;Uebergewicht
m;174;27;65;keinSport;Normalgewicht
w;158;47;124;keinSport;Uebergewicht
w;171;49;102;Ausdauersport;Uebergewicht
m;181;41;160;keinSport;Uebergewicht
m;170;32;80;Ausdauersport;Normalgewicht
m;168;22;74;Kraftsport;Normalgewicht
m;176;65;113;keinSport;Uebergewicht
m;189;32;97;keinSport;Uebergewicht
w;159;35;85;keinSport;Uebergewicht
w;173;57;62;keinSport;Untergewicht
m;174;57;99;keinSport;Uebergewicht
m;178;51;74;Kraftsport;Normalgewicht
m;180;54;141;keinSport;Uebergewicht
m;174;35;51;keinSport;Untergewicht
m;173;60;90;Ausdauersport;Uebergewicht
m;186;49;115;keinSport;Uebergewicht
w;164;51;83;Ausdauersport;Uebergewicht
w;153;41;51;Ausdauersport;Normalgewicht
m;188;44;172;keinSport;Uebergewicht
w;162;61;62;keinSport;Normalgewicht
m;172;64;137;Kraftsport;Uebergewicht
w;163;27;63;keinSport;Normalgewicht
m;176;40;90;Kraftsport;Normalgewicht
m;191;45;121;Kraftsport;Uebergewicht
w;160;57;74;Kraftsport;Uebergewicht
w;164;56;79;keinSport;Uebergewicht
m;165;55;77;Kraftsport;Normalgewicht
w;188;42;120;keinSport;Uebergewicht
m;166;47;52;keinSport;Untergewicht
w;176;82;96;Ausdauersport;Uebergewicht
w;162;47;94;keinSport;Uebergewicht
w;172;27;79;keinSport;Uebergewicht
m;180;32;88;Kraftsport;Uebergewicht
w;165;21;76;keinSport;Uebergewicht
w;163;74;64;Ausdauersport;Untergewicht
m;178;39;97;Kraftsport;Normalgewicht
w;158;52;49;keinSport;Untergewicht
w;165;73;106;keinSport;Uebergewicht
m;174;31;66;keinSport;Normalgewicht
m;176;45;110;keinSport;Uebergewicht
w;171;59;95;keinSport;Uebergewicht
w;168;64;135;keinSport;Uebergewicht
m;185;37;92;Kraftsport;Normalgewicht
w;167;81;79;keinSport;Normalgewicht
m;172;27;87;Ausdauersport;Normalgewicht
m;182;65;95;Ausdauersport;Normalgewicht
m;171;55;81;Ausdauersport;Normalgewicht
m;172;50;108;Kraftsport;Uebergewicht
m;190;69;111;keinSport;Uebergewicht
w;174;54;101;keinSport;Uebergewicht
m;182;55;99;keinSport;Uebergewicht
m;173;35;99;keinSport;Uebergewicht
w;160;41;68;Ausdauersport;Normalgewicht
w;160;54;118;keinSport;Uebergewicht
m;182;28;103;Kraftsport;Uebergewicht
w;168;84;51;keinSport;Untergewicht
m;181;43;100;Kraftsport;Uebergewicht
m;175;65;97;keinSport;Uebergewicht
m;179;77;90;keinSport;Normalgewicht
m;170;54;108;keinSport;Uebergewicht
m;186;68;92;keinSport;Normalgewicht
w;164;44;72;keinSport;Uebergewicht
m;190;26;162;keinSport;Uebergewicht
w;166;30;101;Kraftsport;Uebergewicht
w;163;26;112;keinSport;Uebergewicht
w;164;75;72;Ausdauersport;Normalgewicht
w;163;62;103;keinSport;Uebergewicht
w;168;49;85;keinSport;Uebergewicht
m;182;48;72;keinSport;Untergewicht
m;179;45;166;Kraftsport;Uebergewicht
w;170;30;153;keinSport;Uebergewicht
m;174;26;91;Kraftsport;Uebergewicht
w;163;42;88;Ausdauersport;Uebergewicht
m;168;72;80;keinSport;Normalgewicht
w;175;74;98;Kraftsport;Normalgewicht
m;179;37;69;Ausdauersport;Normalgewicht
w;168;37;60;Kraftsport;Normalgewicht
m;171;36;91;Ausdauersport;Uebergewicht
m;170;76;127;keinSport;Uebergewicht
m;170;42;98;keinSport;Uebergewicht
m;175;58;90;Ausdauersport;Normalgewicht
m;176;41;161;keinSport;Uebergewicht
w;166;59;116;keinSport;Uebergewicht
m;172;64;171;Kraftsport;Uebergewicht
m;180;23;69;keinSport;Normalgewicht
w;165;48;122;Ausdauersport;Uebergewicht
w;158;27;80;Ausdauersport;Uebergewicht
m;171;27;91;Kraftsport;Normalgewicht
m;169;22;90;keinSport;Uebergewicht
m;185;47;109;Kraftsport;Uebergewicht
m;179;49;94;keinSport;Uebergewicht
m;168;72;163;keinSport;Uebergewicht
m;187;45;73;keinSport;Untergewicht
m;182;36;96;keinSport;Uebergewicht
w;178;51;162;Kraftsport;Uebergewicht
w;169;56;103;keinSport;Uebergewicht
w;162;48;94;keinSport;Uebergewicht
w;171;29;89;Kraftsport;Uebergewicht
w;174;21;83;keinSport;Uebergewicht
w;163;22;52;keinSport;Normalgewicht
w;170;53;65;Ausdauersport;Normalgewicht
w;157;35;70;keinSport;Uebergewicht
m;179;54;90;Ausdauersport;Normalgewicht
w;170;55;78;keinSport;Normalgewicht
w;171;18;59;keinSport;Normalgewicht
m;179;44;147;Kraftsport;Uebergewicht
w;162;49;62;keinSport;Normalgewicht
m;171;34;62;keinSport;Normalgewicht
w;176;54;105;keinSport;Uebergewicht
w;165;55;83;keinSport;Uebergewicht
m;176;46;166;keinSport;Uebergewicht
w;187;21;99;keinSport;Uebergewicht
w;177;22;81;Kraftsport;Normalgewicht
m;178;57;97;keinSport;Uebergewicht
m;198;51;110;keinSport;Uebergewicht
w;160;60;62;Kraftsport;Normalgewicht
m;179;32;87;keinSport;Uebergewicht
w;169;47;151;keinSport;Uebergewicht
w;165;72;84;keinSport;Uebergewicht
w;157;72;152;Kraftsport;Uebergewicht
m;168;52;74;Kraftsport;Normalgewicht
w;167;64;129;keinSport;Uebergewicht
m;172;20;77;Ausdauersport;Normalgewicht
m;176;53;94;Ausdauersport;Uebergewicht
m;169;24;94;keinSport;Uebergewicht
w;160;68;63;keinSport;Untergewicht
w;154;56;96;keinSport;Uebergewicht
w;159;22;69;keinSport;Uebergewicht
w;166;36;59;keinSport;Normalgewicht
w;166;28;70;keinSport;Uebergewicht
w;169;62;104;Kraftsport;Uebergewicht
m;192;57;93;keinSport;Normalgewicht
m;167;37;69;keinSport;Normalgewicht
w;164;72;75;keinSport;Normalgewicht
w;171;34;83;keinSport;Uebergewicht
m;174;56;122;keinSport;Uebergewicht
w;179;38;97;keinSport;Uebergewicht
m;177;26;97;keinSport;Uebergewicht
m;171;51;101;keinSport;Uebergewicht
m;180;66;101;keinSport;Uebergewicht
w;157;51;94;keinSport;Uebergewicht
w;196;46;73;keinSport;Untergewicht
m;176;19;92;keinSport;Uebergewicht
m;181;40;99;keinSport;Uebergewicht
w;169;59;92;Kraftsport;Uebergewicht
w;176;32;151;Kraftsport;Uebergewicht
m;172;48;74;Kraftsport;Normalgewicht
m;187;21;97;keinSport;Uebergewicht
w;159;42;145;keinSport;Uebergewicht
m;182;40;160;Kraftsport;Uebergewicht
w;164;30;82;Kraftsport;Normalgewicht
m;169;68;106;keinSport;Uebergewicht
m;188;43;129;Ausdauersport;Uebergewicht
w;153;48;84;keinSport;Uebergewicht
m;168;51;64;keinSport;Untergewicht
m;167;22;95;Kraftsport;Uebergewicht
w;160;61;64;keinSport;Normalgewicht
w;167;71;74;keinSport;Normalgewicht
w;164;87;75;Kraftsport;Normalgewicht
m;178;43;76;keinSport;Normalgewicht
w;165;20;58;keinSport;Normalgewicht
m;170;61;90;Ausdauersport;Uebergewicht
w;158;47;93;keinSport;Uebergewicht
m;171;29;110;keinSport;Uebergewicht
w;158;24;69;Ausdauersport;Normalgewicht
w;166;48;80;keinSport;Uebergewicht
w;157;58;90;Kraftsport;Uebergewicht
w;157;57;79;keinSport;Uebergewicht
w;165;60;79;keinSport;Uebergewicht
m;185;58;82;keinSport;Normalgewicht
w;169;65;77;keinSport;Normalgewicht
w;166;53;94;Ausdauersport;Uebergewicht
m;182;62;74;Ausdauersport;Normalgewicht
m;178;45;110;Kraftsport;Uebergewicht
w;173;67;121;keinSport;Uebergewicht
w;162;82;147;keinSport;Uebergewicht
w;168;53;147;keinSport;Uebergewicht
m;184;23;79;keinSport;Normalgewicht
m;165;71;65;keinSport;Untergewicht
w;155;67;89;Kraftsport;Uebergewicht
w;168;34;93;keinSport;Uebergewicht
w;167;37;112;keinSport;Uebergewicht
w;168;41;84;keinSport;Uebergewicht
w;156;20;55;Kraftsport;Normalgewicht
w;169;62;81;Ausdauersport;Normalgewicht
m;170;49;84;keinSport;Uebergewicht
w;164;61;111;keinSport;Uebergewicht
w;171;72;102;keinSport;Uebergewicht
m;165;27;81;Kraftsport;Uebergewicht
w;163;19;86;keinSport;Uebergewicht
m;193;30;142;Kraftsport;Uebergewicht
w;167;79;96;Ausdauersport;Uebergewicht
m;176;22;75;Kraftsport;Normalgewicht
w;170;35;99;keinSport;Uebergewicht
w;160;58;76;keinSport;Uebergewicht
w;168;70;103;keinSport;Uebergewicht
w;159;21;81;Kraftsport;Normalgewicht
w;168;48;63;keinSport;Normalgewicht
w;171;70;136;Kraftsport;Uebergewicht
w;156;37;68;Ausdauersport;Normalgewicht
w;167;54;70;Kraftsport;Normalgewicht
m;165;42;76;Kraftsport;Uebergewicht
m;182;18;65;keinSport;Untergewicht
m;177;64;62;keinSport;Untergewicht
w;158;55;141;Kraftsport;Uebergewicht
m;182;58;107;Ausdauersport;Uebergewicht
m;174;34;71;keinSport;Normalgewicht
w;161;41;86;keinSport;Uebergewicht
m;185;21;121;keinSport;Uebergewicht
m;173;54;85;Kraftsport;Normalgewicht
m;167;44;68;Ausdauersport;Normalgewicht
m;189;75;116;keinSport;Uebergewicht
m;175;52;102;keinSport;Uebergewicht
w;162;34;104;keinSport;Uebergewicht
w;155;39;77;keinSport;Uebergewicht
m;190;52;106;keinSport;Uebergewicht
m;176;72;95;keinSport;Uebergewicht
m;169;47;85;keinSport;Uebergewicht
m;161;27;99;keinSport;Uebergewicht
m;185;42;105;keinSport;Uebergewicht
m;175;49;137;keinSport;Uebergewicht
w;173;22;123;keinSport;Uebergewicht
w;163;27;73;keinSport;Uebergewicht
m;169;48;67;keinSport;Normalgewicht
w;162;56;77;keinSport;Uebergewicht
m;172;60;99;keinSport;Uebergewicht
m;172;48;103;keinSport;Uebergewicht
m;168;19;67;Ausdauersport;Normalgewicht
m;180;58;104;keinSport;Uebergewicht
w;170;28;103;keinSport;Uebergewicht
m;186;41;93;keinSport;Normalgewicht
w;169;32;79;keinSport;Uebergewicht
m;175;59;119;Kraftsport;Uebergewicht
w;161;52;102;Kraftsport;Uebergewicht
w;169;53;109;keinSport;Uebergewicht
m;171;29;65;Ausdauersport;Normalgewicht
m;181;53;101;Kraftsport;Normalgewicht
w;169;60;76;keinSport;Normalgewicht
w;165;70;117;keinSport;Uebergewicht
w;161;34;83;Kraftsport;Normalgewicht
m;187;38;100;Ausdauersport;Normalgewicht
m;170;76;112;Kraftsport;Uebergewicht
m;182;26;76;keinSport;Normalgewicht
w;173;43;100;keinSport;Uebergewicht
m;188;21;70;Kraftsport;Untergewicht
m;180;33;69;Ausdauersport;Normalgewicht
m;176;19;72;keinSport;Normalgewicht
w;160;36;60;Kraftsport;Normalgewicht
w;163;51;87;keinSport;Uebergewicht
w;154;26;82;Ausdauersport;Uebergewicht
w;174;73;65;keinSport;Untergewicht
m;183;31;63;Ausdauersport;Normalgewicht
w;169;81;66;Ausdauersport;Normalgewicht
w;166;71;88;Kraftsport;Uebergewicht
w;163;34;141;Kraftsport;Uebergewicht
w;157;39;63;keinSport;Normalgewicht
m;173;70;82;Ausdauersport;Normalgewicht
m;171;64;81;keinSport;Normalgewicht
m;185;23;76;Kraftsport;Normalgewicht
w;163;50;87;keinSport;Uebergewicht
w;159;40;66;keinSport;Normalgewicht
w;163;56;144;Kraftsport;Uebergewicht
w;158;19;133;Ausdauersport;Uebergewicht
w;180;46;103;Kraftsport;Normalgewicht
w;157;41;76;Kraftsport;Normalgewicht
m;186;40;120;keinSport;Uebergewicht
w;162;42;56;Kraftsport;Normalgewicht
w;164;51;94;Kraftsport;Uebergewicht
w;166;58;95;keinSport;Uebergewicht
m;168;27;77;keinSport;Uebergewicht
w;163;21;57;keinSport;Normalgewicht
m;184;66;82;keinSport;Untergewicht
m;183;20;79;keinSport;Normalgewicht
m;174;37;75;keinSport;Normalgewicht
w;159;48;72;keinSport;Uebergewicht
w;162;49;101;Kraftsport;Uebergewicht
w;162;44;62;keinSport;Normalgewicht
w;164;77;57;Kraftsport;Normalgewicht
w;170;24;72;Ausdauersport;Normalgewicht
w;154;79;146;keinSport;Uebergewicht
m;188;29;105;Ausdauersport;Uebergewicht
w;173;51;86;keinSport;Uebergewicht
w;171;27;97;keinSport;Uebergewicht
m;174;50;90;keinSport;Uebergewicht
w;179;26;95;keinSport;Uebergewicht
w;167;30;82;keinSport;Uebergewicht
m;184;46;122;keinSport;Uebergewicht
